Isin,CurrencyCode,Ticker,company_name,environment_grade,environment_level,environment_score,esg_id,exchange_symbol,governance_grade,governance_level,governance_score,last_processing_date,social_grade,social_level,social_score,stock_symbol,total,total_grade,total_level
US8326964058,USD,System.Object[],The J. M. Smucker Company,A,High,540,3952,NYSE,BB,Medium,320,20230222,BB,Medium,304,SJM,1164,BBB,High
US4456581077,USD,System.Object[],"J.B. Hunt Transport Services, Inc.",A,High,580,3950,NASDAQ,BB,Medium,315,20230222,BB,Medium,309,JBHT,1204,A,High
US46284V1017,USD,System.Object[],Iron Mountain Incorporated,A,High,500,3911,NYSE,BB,Medium,300,20230222,BB,Medium,300,IRM,1100,BBB,High
US46266C1053,USD,System.Object[],IQVIA Holdings Inc.,A,High,505,72032,NYSE,BB,Medium,305,20230301,BB,Medium,304,IQV,1114,BBB,High
US44980X1090,USD,System.Object[],IPG Photonics Corporation,A,High,522,3905,NASDAQ,B,Medium,250,20230222,BB,Medium,333,IPGP,1105,BBB,High
US46187W1071,USD,System.Object[],Invitation Homes Inc.,A,High,550,72028,NYSE,BB,Medium,300,20230301,BB,Medium,347,INVH,1197,BBB,High
BMG491BT1088,USD,System.Object[],Invictus Energy Limited,B,Medium,293,8658,ASX,BB,Medium,300,20230223,B,Medium,235,IVZ,828,BB,Medium
US46120E6023,USD,System.Object[],"Intuitive Surgical, Inc.",A,High,525,3865,NASDAQ,B,Medium,291,20230222,BB,Medium,336,ISRG,1152,BBB,High
US4612021034,USD,System.Object[],Intuit Inc.,A,High,560,3864,NASDAQ,BB,Medium,345,20230222,BB,Medium,344,INTU,1249,A,High
US4606901001,USD,System.Object[],"The Interpublic Group of Companies, Inc.",A,High,500,3845,NYSE,BB,Medium,300,20230222,BB,Medium,300,IPG,1100,BBB,High
US4601461035,USD,System.Object[],International Paper Company,A,High,528,3836,NYSE,BB,Medium,305,20230222,BB,Medium,316,IP,1149,BBB,High
GB00BVG7F061,USD,System.Object[],International Game Technology PLC,A,High,525,3832,NYSE,BB,Medium,352,20230222,BB,Medium,323,IGT,1200,A,High
